"SiteName","Watershed","visit","Gradient","LWfreq","Braid","Sinuosity","bfw","bfd","Q","cover","Ucut","D50","Bldr","Cbl","Gvl","Sndf","Planform","Threads","Bedform","Substrate","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD","RS","Condition","RScond"
"dsgn4-000092","Upper Grande Ronde",2141,1,13.45595049,1,1.06,6.495,0.23,0.00978,20.935,0.53,48,10.87,29.1,37.625,7.135,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_bed","good",NA,NA,"AF","moderate","AFmoderate"
"SFT00001-000024","Walla Walla",3464,1,31.20649095,1,1.13,13.95,0.44,0.08,23.9,3.02,69,3.84,18.28,55.7,15.7,"Sinuous","Single","Plane-Bed","gravel","PCV","pcv_lowSin_planControlled_cobble_bed","good",426221,5115963,"AF","moderate","AFmoderate"
"CBW05583-432587","Tucannon",2696,0.948,15.51,1,1.03,14.8,0.5,1.89,16.12,1.06,47,4,33.19,45.73,8.86,"Straight","Transitional","Plane-Bed","cobble-gravel","PCV","pcv_lowSin_wandering_cobble_bed","poor",NA,NA,"AF","moderate","AFmoderate"
"ENT00001-1F18","Entiat",1793,0.9165,23.84810611,1,1.03,32.875,0.785,4.47,3.665,0.6,171,38.585,32.085,12.135,9.175,"Sinuous","Single","Plane-Bed","boulder-cobble","PCV","pcv_marginControlled_dfp","moderate",698169,5289815,"AF","moderate","AFmoderate"
"LEM00002-000004","Lemhi",294,0.607,11.50306748,1,1.03,21.08,0.54,5.87,16.25,NA,78,1.58,40.34,58.67,0,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_Bed","moderate",NA,NA,"AF","moderate","AFmoderate"
"ASW00001-NF-F2 P2","Asotin",3949,2,29.48,1,1.17,10.29,0.38,0.57,9.48,4.31,59,8.31,35.47,40.11,10.17,"Sinuous","Single","Plane-Bed","cobble-gravel","UCV","Wandering Gravel Bed",NA,NA,NA,"AF","good","AFgood"
"CBW05583-487322","Upper Grande Ronde",797,1.5,26.65397169,1.155,1.265,8.1,0.23,0.008485,15.825,1.91,54,3.715,43.31,40.695,5.22,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"AF","good","AFgood"
"CBW05583-108010","Upper Grande Ronde",2014,1,43.91475041,1,1.395,6.505,0.285,0.34,16.955,12.2,26,0.545,25.545,51.755,17.15,"Meandering","Single","Pool-Riffle","cobble-gravel","UCV","ucv_lowSin_gravel_bed","good",NA,NA,"AF","good","AFgood"
"CBW05583-170443","Tucannon",4147,1,81.505,1.72,1.13,25.08,0.57,2.125,40,3.515,51.5,2.03,21.36,34.75,10.52,"Anabranching","Multi","Pool-Riffle","cobble-gravel","UCV","low-moderate sinuosity wandering gravel bed",NA,NA,NA,"AF","good","AFgood"
"YFI00001-001078","Yankee Fork",3146,0.971,21.34,1,1.39,10.3,0.44,0.89,6.39,13.07,47,3.93,42.57,45.35,0.75,"Sinuous","Single","Plane-Bed","cobble-gravel ","UCV","ucv_wandering_gravel_bed","good",NA,NA,"AF","good","AFgood"
"WENMASTER-000195","Wenatchee",2563,0.922,28.16420585,1,1.46,10.09,0.43,0.46,28.7,9.885,52,0,40.69,47.7,9.65,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_alluvial_fan","good",669782,5308280,"AF","good","AFgood"
"CBW05583-491690","Upper Grande Ronde",3701,0.7285,75.405,1.27,1.25,20.075,0.41,0.945,11.36,2.015,54.5,0.665,31.255,45.095,16.47,"Wandering","Transitional","Pool-Riffle","cobble-gravel ","UCV","ucv_lowSin_gravel_bed","moderate",NA,NA,"AF","good","AFgood"
"CBW05583-452047","Lemhi",1448,0.365,21.3244626,1.11,1.345,14.695,0.35,0.925,19.88,3.24,19,0.45,12.545,62.045,21.385,"Wandering","Transitional","Pool-Riffle","gravel-sand","UCV","UCV_Meandering_Fine_Grained","moderate",NA,NA,"AF","good","AFgood"
"ENT00001-3A5","Entiat",1846,0.205,33.81,1,1.41,35.01,0.81,3.12,5.91,10.415,47,2.335,16.705,49.115,30.615,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_wandering_planControlled_dfp","moderate",692654,5304562,"AF","good","AFgood"
"LWIN0001-000041","Wenatchee",3275,0.158,24.79,1,1.465,40.58,1.15,1.47,23.885,3.375,24,3.07,5.47,51.865,30.4,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","Moderate to High Sinuosity Gravel-Sand Bed",NA,NA,NA,"AF","good","AFgood"
"CBW05583-095403","Wenatchee",3466,0.104,53.46,1,1.23,46.52,1.21,4.74,19.61,0.3,22,0,2.37,60.62,36.09,"Meandering","Single","Pool-Riffle","gravel-sand","UCV","ucv_meandering_gravel_bed","good",658612,5305627,"AF","good","AFgood"
"SFT00001-000023","Walla Walla",2484,2,31.8954992,1.615,1.18,18.12,0.24,0.215,40.29,4.565,52.5,2.705,20.705,38.23,11.955,"Anabranching","Multi","Plane-Bed","cobble-gravel ","PCV","pcv_lowSin_planControlled_cobble_bed","good",425000,5109453,"AF","good","AFgood"
"LRB_BC3220","Region 17",3413,1.137,NA,1,1.352,6.2,NA,0.15,NA,NA,50,NA,NA,NA,NA,"Meandering","Single","Plane-Bed","cobble-gravel","PCV","PCV_fan-controlled discontinuous floodplain",NA,NA,NA,"AF","good","AFgood"
"SFT00001-000024","Walla Walla",3464,1,31.20649095,1,1.13,13.95,0.44,0.08,23.9,3.02,69,3.84,18.28,55.7,15.7,"Sinuous","Single","Plane-Bed","gravel","PCV","pcv_lowSin_planControlled_cobble_bed","good",426221,5115963,"AF","good","AFgood"
"CBW05583-010495","Tucannon",2262,1,33.78034744,1.06,1.21,15.225,0.46,1.88,12.23,3.55,70.5,0.84,39.69,50.38,5.13,"Meandering","Single","Pool-Riffle","cobble-gravel","PCV","PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed","moderate",NA,NA,"AF","good","AFgood"
"JDW00001-Mazama A","John Day",2790,1,NA,1,1.24,4.32,0.3,0.275,21.06,NA,34,6.86,22.64,38.13,27.98,"Sinuous","Single","Pool-Riffle","cobble-gravel-sand","PCV","pcv_fanControlled_dfp","",720257,4946012,"AF","good","AFgood"
"CBW05583-055979","Entiat",3979,0.774,156.09,1.93,1.16,45.55,0.7,5.66,28.62,6.05,97,10.25,43.95,31.5,6.69,"Anabranching","Multi","Pool-Riffle","cobble-gravel","PCV","Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain","good",684190,5314041,"AF","good","AFgood"
"ENT00001-1BC1","Entiat",2447,0.524,56.135,1.93,1.18,34.995,0.64,4.42,14.915,4.87,94,13.48,35.55,34.25,17.655,"Anabranching","Multi","Pool-Riffle","cobble-gravel ","PCV","pcv_margin_controlled_wandering_cobble_bed","poor",707421,5282609,"AF","good","AFgood"
"ENT00001-1BC7","Entiat",1783,0.756,0.616617851,1,1.02,30.71,0.75,3.51,4.12,NA,146.5,39.68,26.2,21.95,12.1,"Straight","Single","Plane-Bed","boulder-cobble-gravel","UCV","ucv_lowSin_cobble_bed","moderate",705691,5282743,"PC","poor","PCpoor"
"LRB_66576","Region 17",3415,1.893,NA,1,1.052,12.5,NA,0.77,NA,NA,176,NA,NA,NA,NA,"Straight","Single","Plane-Bed","cobble-gravel","PCV","fan controlled partly confined",NA,NA,NA,"PC","poor","PCpoor"
"CBW05583-241618","South Fork Salmon",2060,1,15.025,1,1.08,18.675,0.715,1.45,10.66,0.45,102,29.745,33.37,30.46,5.06,"Sinuous","Single","Plane-Bed","boulder-cobble-sand","PCV","pcv_margin_controlled_cobble_bed","moderate",590019,5013154,"PC","poor","PCpoor"
"CBW05583-315823","Lemhi",1587,1,17.70494503,1,1.09,14.1,0.4,0.75,18.88,2.26,113,16.75,35.5,37.23,6.84,"Sinuous","Single","Plane-Bed","boulder-cobble-gravel","PCV","PCV_LowSin_PlanControlled_DFP","poor",NA,NA,"PC","poor","PCpoor"
"dsgn4-000092","Upper Grande Ronde",2141,1,13.45595049,1,1.06,6.495,0.23,0.00978,20.935,0.53,48,10.87,29.1,37.625,7.135,"Straight","Single","Plane-Bed","cobble-gravel","PCV","pcv_marginControlled_gravel_bed","good",NA,NA,"PC","poor","PCpoor"
