X,Watershed,SiteName,Visit,Gradient,LWfreq,Braid,Sinuosity,D50,Bldr,Cbl,Gvl,Sndf,bfw,bfd,Planform,Threads,Bedform,Substrate,Confinement,RS_name,Geo_Cond,LONG_DD,LAT_DD,RS
13,Lemhi,CBW05583-038111,3501,0.6635,11.84490313,1.39,1.185,48,2.605,28.505,36.11,25.145,18.555,0.52,Wandering,Transitional,Plane-Bed,cobble-gravel-sand,UCV,UCV_LowSin_Sand_Bed,moderate,NA,NA,AFmod
34,Tucannon,CBW05583-214911,4179,1,12.77880714,1.19,1.07,70.5,15.93,37.04,28.59,7.33,15.26,0.405,Wandering,Transitional,Plane-Bed,cobble-gravel,PCV,PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed,good,NA,NA,AFmod
39,South Fork Salmon,CBW05583-241618,2060,1,15.025,1,1.08,102,29.745,33.37,30.46,5.06,18.675,0.715,Sinuous,Single,Plane-Bed,boulder-cobble-sand,PCV,pcv_margin_controlled_cobble_bed,moderate,590019,5013154,AFmod
40,Tucannon,CBW05583-248063,2265,1,23.29138566,1,1.08,63,8.31,41.58,61.14,6.19,16.72,0.46,Wandering,Transitional,Plane-Bed,cobble-gravel ,PCV,PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed,moderate,NA,NA,AFmod
43,Lemhi,CBW05583-315823,1587,1,17.70494503,1,1.09,113,16.75,35.5,37.23,6.84,14.1,0.4,Sinuous,Single,Plane-Bed,boulder-cobble-gravel,PCV,PCV_LowSin_PlanControlled_DFP,poor,NA,NA,AFmod
50,South Fork Salmon,CBW05583-404767,2065,2,23.80672412,1,1.02,134,30.56,32.495,21.705,5.81,14.135,0.55,Straight,Single,Plane-Bed,boulder-cobble-gravel,PCV,pcv_margin_controlled_boulder_bed,good,594981,4991428,AFmod
55,Tucannon,CBW05583-432587,2696,0.948,15.51,1,1.03,47,4,33.19,45.73,8.86,14.8,0.5,Straight,Transitional,Plane-Bed,cobble-gravel,PCV,pcv_lowSin_wandering_cobble_bed,poor,NA,NA,AFmod
65,Upper Grande Ronde,dsgn4-000092,2141,1,13.45595049,1,1.06,48,10.87,29.1,37.625,7.135,6.495,0.23,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_marginControlled_gravel_bed,good,NA,NA,AFmod
74,Entiat,ENT00001-1F18,1793,0.9165,23.84810611,1,1.03,171,38.585,32.085,12.135,9.175,32.875,0.785,Sinuous,Single,Plane-Bed,boulder-cobble,PCV,pcv_marginControlled_dfp,moderate,698169,5289815,AFmod
87,Lemhi,LEM00002-000004,294,0.607,11.50306748,1,1.03,78,1.58,40.34,58.67,0,21.08,0.54,Straight,Single,Plane-Bed,cobble-gravel,PCV,pcv_marginControlled_gravel_Bed,moderate,NA,NA,AFmod
103,Walla Walla,SFT00001-000024,3464,1,31.20649095,1,1.13,69,3.84,18.28,55.7,15.7,13.95,0.44,Sinuous,Single,Plane-Bed,gravel,PCV,pcv_lowSin_planControlled_cobble_bed,good,426221,5115963,AFmod
1,Asotin,ASW00001-NF-F2 P2,3949,2,29.48,1,1.17,59,8.31,35.47,40.11,10.17,10.29,0.38,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,Wandering Gravel Bed,NA,NA,NA,AFgood
3,Tucannon,CBW05583-010495,2262,1,33.78034744,1.06,1.21,70.5,0.84,39.69,50.38,5.13,15.225,0.46,Meandering,Single,Pool-Riffle,cobble-gravel,UCV,PC Low-Mod Sinuosity Wandering Gravel/Cobble Bed,moderate,NA,NA,AFgood
15,Entiat,CBW05583-055979,3979,0.774,156.09,1.93,1.16,97,10.25,43.95,31.5,6.69,45.55,0.7,Anabranching,Multi,Pool-Riffle,cobble-gravel,PCV,Low to Moderate Sinuosity Planform-Controlled Discontinuous Floodplain,good,684190,5314041,AFgood
