"","Watershed","SiteName","Visit","Gradient","LWfreq","Braid","Sinuosity","Planform","Threads","Bedform","Substrate","Bldr","Cbl","Gvl","Sndf","bfw","bfd","Confinement","RS_name","Geo_Cond","LONG_DD","LAT_DD"
"46","John Day","CBW05583-345970",3161,5,50.39,1,1.09,"Sinuous","Single","Rapid","cobble-boulder",4.07,11.86,42.87,24.91,3.24,0.33,"CV","cv_gravel_bed","good",311310,4908726
"47","Lemhi","CBW05583-353711",2271,7,0.81,1.39,1.18,"Sinuous","Single","Plane-Bed","cobble-gravel ",6.85,17.82,54.35,8.56,5.68,0.16,"UCV","cv_gravel_bed","good",NA,NA
"48","Lemhi","CBW05583-362335",548,2.5,46.9602695,1.1,1.395,"Sinuous","Single","Pool-Riffle","cobble-gravel ",6.695,24.72,52.23,9.805,4.675,0.305,"CV","cv_occ_fpp","good",NA,NA
"49","Methow ","CBW05583-385561",1096,0.604,1.856244019,1,1.165,"Sinuous","Single","Plane-Bed","cobble",8.625,34.74,47.13,7.265,39.14,0.625,"UCV","ucv_lowSin_wandering_cobble_bed","moderate",692538,5385609
"50","South Fork Salmon","CBW05583-404767",2065,2,23.80672412,1,1.02,"Straight","Single","Plane-Bed","boulder",30.56,32.495,21.705,5.81,14.135,0.55,"PCV","pcv_margin_controlled_boulder_bed","good",594981,4991428
"51","Entiat","CBW05583-407211",2458,6,35.99282551,1,1.12,"Sinuous","Single","Cascade","cobble",11.13,17.425,39.375,21.53,3.755,0.255,"UCV","alluvial_fan","moderate",693136,5299635
"52","South Fork Salmon","CBW05583-410911",NA,6,32.40643718,1,1.18,NA,NA,NA,NA,15.16,15.26,40.08,24.54,6.485,0.47,NA,NA,NA,NA,NA
"53","Tucannon","CBW05583-420019",1494,0.366,4.147921253,NA,1.01,"Straight","Single","Plane-Bed","cobble",0.66,7.96,75.72,14.24,13.48,0.55,"PCV","pcv_marginControlled_dfp","poor",NA,NA
"54","John Day","CBW05583-423282",2435,1,4.13,1,1.28,"Sinuous","Single","Plane-Bed","cobble-gravel ",4.92,18.33,62.26,12.58,6.39,0.26,"PCV","pcv_margin_controlled_dfp","good",312414,4905337
"55","Tucannon","CBW05583-432587",2696,0.948,15.51,1,1.03,"Straight","Transitional","Plane-Bed","cobble",4,33.19,45.73,8.86,14.8,0.5,"PCV","pcv_lowSin_wandering_cobble_bed","poor",NA,NA
"56","South Fork Salmon","CBW05583-438226",701,0.4435,51.97952691,1.035,1.64,"Meandering","Single","Pool-Riffle","gravel",0,1.85,71.975,24.425,4.615,0.525,"UCV","ucv_meandering_gravel_bed","good",589927,5013532
"57","South Fork Salmon","CBW05583-442351",323,5,5.510316537,1,1.04,"Straight","Single","Cascade","boulder",28.34,38.68,23.93,4.78,9.69,0.51,"CV","cv_step_cascade","good",619780,4973498
"58","Lemhi","CBW05583-452047",1448,0.365,21.3244626,1.11,1.345,"Wandering","Transitional","Pool-Riffle","gravel-sand",0.45,12.545,62.045,21.385,14.695,0.35,"UCV","UCV_Meandering_Fine_Grained","moderate",NA,NA
"59","Upper Grande Ronde","CBW05583-487322",797,1.5,26.65397169,1.155,1.265,"Wandering","Transitional","Pool-Riffle","cobble-gravel ",3.715,43.31,40.695,5.22,8.1,0.23,"UCV","ucv_lowSin_gravel_bed","moderate",NA,NA
"60","Upper Grande Ronde","CBW05583-491690",3701,0.7285,75.405,1.27,1.25,"Wandering","Transitional","Pool-Riffle","cobble-gravel ",0.665,31.255,45.095,16.47,20.075,0.41,"UCV","ucv_lowSin_gravel_bed","moderate",NA,NA
"61","Wenatchee","CBW05583-492715",1735,1,33.54380426,1,1.07,"Wandering","Transitional","Step-Pool","cobble-boulder",2.3,34.86,39.5,8.3,10.35,0.42,"CV","cv_occ_fpp","good",670770,5310630
"62","Entiat","CBW05583-502443",895,1.5,54.95147306,1,1.105,"Sinuous","Single","Pool-Riffle","cobble-boulder",26.485,35.295,22.885,10.645,13.945,0.545,"CV","cv_occ_fpp","intact",690215,5296362
"63","Entiat","CBW05583-503467",NA,3,26.25,1,1.05,NA,NA,NA,NA,16.85,33.28,27.73,13.68,5.25,0.33,NA,NA,NA,NA,NA
"64","Upper Grande Ronde","CBW05583-514458",2133,1,15.44679501,1,1.525,"Meandering","Single","Pool-Riffle","cobble-gravel ",0.14,27.175,45.105,22.105,3.89,0.26,"PCV","pcv_planControlled_gravel_bed","good",NA,NA
