visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
3637,UnitForm,Mound,22,8.86,5.63,8.364,194.927,46.127,30.5,39.814,1014.803,0.183,5.206
3637,UnitForm,Mound Transition,53,1.536,0.79,1.881,81.4,18.6,9.6,20.04,985.796,0.077,12.109
3637,UnitForm,Plane,11,20.027,5.062,33.346,220.292,132.562,62,181.542,1458.185,0.207,6.619
3637,UnitForm,Saddle,4,2.898,2.335,1.93,11.59,10.85,9.9,3.646,43.4,0.011,3.744
3637,UnitForm,Trough,20,11.117,1.7,21.848,222.34,62.83,21.9,91.502,1256.602,0.209,5.652
3637,UnitForm,Wall,28,4.864,3.24,5.042,136.199,30.07,19.401,29.323,841.97,0.128,6.182
3701,UnitShape,Concavity,91,33.779,12.17,52.735,3073.88,53.156,27.4,66.71,4837.198,0.346,1.574
3701,UnitShape,Convexity,102,34.84,3.095,78.274,3553.632,56.01,18.2,96.029,5712.997,0.4,1.608
3701,UnitShape,Planar,45,50.212,8.04,124.926,2259.527,128.87,59,201.353,5799.162,0.254,2.567
3701,UnitForm,Bowl,33,31.128,12.38,40.384,1027.24,30.394,20,25.08,1003,0.116,0.976
3701,UnitForm,Bowl Transition,25,20.102,10.05,33.399,502.56,38.376,29,35.092,959.4,0.057,1.909
3701,UnitForm,Mound,34,55.687,20.345,104.782,1893.341,74.476,39.6,99.157,2532.2,0.213,1.337
3701,UnitForm,Mound Transition,62,12.078,1.085,34.164,748.811,42.942,10.5,96.615,2662.397,0.084,3.555
3701,UnitForm,Plane,22,69.064,4.88,175.69,1519.41,143.945,35.8,267.226,3166.794,0.171,2.084
3701,UnitForm,Saddle,6,151.913,164.89,105.972,911.48,86.4,93.1,44.237,518.4,0.103,0.569
3701,UnitForm,Trough,33,46.79,12.25,70.895,1544.08,87.115,35.4,95.233,2874.798,0.174,1.862
3701,UnitForm,Wall,23,32.179,22.61,32.459,740.117,114.451,86.2,111.705,2632.368,0.083,3.557
372,UnitShape,Concavity,49,8.21,3.58,13.306,402.27,33.702,15.2,60.274,1651.4,0.324,4.105
372,UnitShape,Convexity,61,8.235,3.55,10.899,502.36,28.121,21.2,21.959,1715.4,0.405,3.415
372,UnitShape,Planar,42,8.003,4.525,14.595,336.12,36.362,26.9,30.978,1527.2,0.271,4.544
372,UnitForm,Bowl,19,4.169,3.03,4.146,79.22,11.684,10.4,6.83,222,0.064,2.803
372,UnitForm,Bowl Transition,20,6.137,3.705,6.782,122.74,24.59,16.2,25.803,491.8,0.099,4.007
372,UnitForm,Mound,22,13.64,8.42,13.225,300.08,36.391,30.6,24.907,800.6,0.242,2.668
372,UnitForm,Mound Transition,33,3.138,1.33,4.89,103.56,21.861,16.4,19.057,721.4,0.083,6.967
372,UnitForm,Plane,23,9.408,2.96,19.475,216.38,41.904,30.8,37.317,963.8,0.174,4.454
372,UnitForm,Saddle,6,16.453,15.185,12.518,98.72,32.233,32.2,16.631,193.4,0.08,1.959
372,UnitForm,Trough,10,20.031,6.49,24.771,200.31,93.76,37.6,112.523,937.6,0.161,4.681
372,UnitForm,Wall,19,6.302,5.54,4.008,119.74,29.653,23.2,19.924,563.4,0.097,4.705
3949,UnitShape,Concavity,45,18.115,4.58,30.133,815.16,45.449,14.8,79.929,2045.2,0.357,2.509
3949,UnitShape,Convexity,61,13.355,7.38,17.833,814.63,37.449,24.6,41.297,2284.4,0.357,2.804
3949,UnitShape,Planar,19,34.334,12.87,67.045,652.34,129.305,69.2,216.697,2456.8,0.286,3.766
3949,UnitForm,Bowl,16,6.728,2.985,7.736,107.65,13.138,9.5,8.133,210.2,0.047,1.953
3949,UnitForm,Bowl Transition,18,15.342,4.845,21.049,276.16,32.656,14.7,37.749,587.8,0.121,2.129
3949,UnitForm,Mound,24,21.602,12.375,22.513,518.46,38.433,30.7,33.267,922.4,0.227,1.779
3949,UnitForm,Mound Transition,33,6.471,2.55,9.462,213.53,36.685,22,47.956,1210.6,0.094,5.669
3949,UnitForm,Plane,12,34.653,8.215,82.171,415.83,127.35,50.2,258.478,1528.2,0.182,3.675
3949,UnitForm,Saddle,4,20.66,19.21,19.574,82.64,37.85,32.8,32.832,151.4,0.036,1.832
3949,UnitForm,Trough,11,39.214,9.71,49.41,431.35,113.382,46,136.187,1247.2,0.189,2.891
3949,UnitForm,Wall,7,33.787,20.79,33.255,236.51,132.657,69.6,135.517,928.6,0.104,3.926
3975,UnitShape,Concavity,27,19.89,11.51,20.888,537.03,63.511,31.2,87.033,1714.8,0.379,3.193
3975,UnitShape,Convexity,82,4.472,1.81,7.895,366.68,28.812,15.1,39.474,2362.6,0.259,6.443
3975,UnitShape,Planar,26,19.671,6.135,32.233,511.45,94.969,35.1,158.796,2469.2,0.361,4.828
3975,UnitForm,Bowl,17,14.852,8.92,13.492,252.48,29.812,27.4,20.264,506.8,0.178,2.007
3975,UnitForm,Bowl Transition,1,1.56,1.56,NaN,1.56,8.8,8.8,NaN,8.8,0.001,5.641
3975,UnitForm,Mound,21,10.541,4.06,13.03,221.36,60.714,37,61.583,1275,0.156,5.76
3975,UnitForm,Mound Transition,54,2.003,0.715,2.929,108.18,18.359,9.6,20.002,991.4,0.076,9.166
3975,UnitForm,Plane,8,36.403,4.465,53.198,291.22,180.575,20,268.412,1444.6,0.206,4.96
3975,UnitForm,Saddle,7,5.306,3.48,3.887,37.14,13.743,10.6,7.033,96.2,0.026,2.59
3975,UnitForm,Trough,9,31.443,16.22,28.422,282.99,133.244,85.8,124.654,1199.2,0.2,4.238
3975,UnitForm,Wall,18,12.235,6.775,13.126,220.23,56.922,37.3,49.354,1024.6,0.156,4.652
3979,UnitShape,Concavity,110,76.035,21.38,141.466,8363.824,98.675,39.2,160.997,10854.203,0.356,1.298
3979,UnitShape,Convexity,166,55.683,4.456,125.852,9243.421,75.831,31.6,114.685,12587.996,0.393,1.362
3979,UnitShape,Planar,53,111.148,23.13,410.107,5890.82,208.938,61.6,608.601,11073.699,0.251,1.88
3979,UnitForm,Bowl,46,50.399,23.585,67.062,2318.34,39.474,26.9,34.968,1815.8,0.099,0.783
3979,UnitForm,Bowl Transition,39,44.821,14.08,78.047,1748.031,66.738,43.8,74.373,2602.801,0.074,1.489
3979,UnitForm,Mound,43,140.695,39.709,191.774,6049.886,118.474,75.2,117.311,5094.401,0.257,0.842
3979,UnitForm,Mound Transition,114,18.012,0.455,58.996,2053.324,57.958,7,113.092,6607.201,0.087,3.218
3979,UnitForm,Plane,19,236.363,61.47,672.421,4490.888,406.367,141.799,986.377,7720.975,0.191,1.719
3979,UnitForm,Saddle,9,126.69,71.71,140.324,1140.211,98.488,79.8,58.846,886.395,0.049,0.777
3979,UnitForm,Trough,25,171.898,53.67,245.761,4297.453,257.424,97,268.41,6435.602,0.183,1.498
3979,UnitForm,Wall,34,41.174,16.715,65.762,1399.932,98.61,45.897,134.068,3352.725,0.06,2.395
3983,UnitShape,Concavity,52,29.198,10.36,61.671,1518.3,55.115,18.7,106.438,2866,0.392,1.888
3983,UnitShape,Convexity,63,17.507,4.98,25.525,1102.91,45.483,26.4,46.604,2865.4,0.284,2.598
3983,UnitShape,Planar,18,69.76,26.64,118.063,1255.68,164.933,70.8,262.787,2968.8,0.324,2.364
3983,UnitForm,Bowl,25,8.947,5.87,9.19,223.67,14.496,12.4,6.782,362.4,0.058,1.62
3983,UnitForm,Bowl Transition,20,24.511,15.665,29.988,490.23,44.12,32.9,37.331,882.4,0.126,1.8
3983,UnitForm,Mound,22,30.97,15.095,32.212,681.34,58.164,53.7,40.074,1279.6,0.176,1.878
3983,UnitForm,Mound Transition,40,8.268,3.2,12.224,330.74,37.655,17.6,49.038,1506.2,0.085,4.554
3983,UnitForm,Plane,3,255.343,326.72,210.305,766.03,594.2,789.2,430.781,1782.6,0.198,2.327
3983,UnitForm,Saddle,1,90.83,90.83,NaN,90.83,79.6,79.6,NaN,79.6,0.023,0.876
3983,UnitForm,Trough,7,114.914,40.74,137.071,804.4,231.6,156.2,219.282,1621.2,0.207,2.015
3983,UnitForm,Wall,15,32.643,26.57,41.846,489.65,79.08,54.6,99.804,1186.2,0.126,2.423
3991,UnitShape,Concavity,28,12.088,2.345,24.725,338.46,40.314,11.5,78.992,1128.8,0.375,3.335
3991,UnitShape,Convexity,38,6.653,2.415,9.777,252.8,25.453,13.7,28.608,967.2,0.28,3.826
3991,UnitShape,Planar,15,20.767,7.73,29.871,311.51,74.627,24.2,105.945,1119.4,0.345,3.594
3991,UnitForm,Bowl,11,3.485,2.21,3.564,38.34,9.891,7.8,5.955,108.8,0.042,2.838
3991,UnitForm,Bowl Transition,14,8.556,4.155,9.727,119.78,27.814,21.6,26.398,389.4,0.133,3.251
3991,UnitForm,Mound,15,11.795,7.15,12.565,176.93,34.48,25.6,29.424,517.2,0.196,2.923
3991,UnitForm,Mound Transition,21,3.269,0.58,5.746,68.65,20.257,7,28.241,425.4,0.076,6.197
3991,UnitForm,Plane,3,62.987,88.41,50.327,188.96,222.333,323.2,183.61,667,0.209,3.53
3991,UnitForm,Saddle,2,3.61,3.61,3.267,7.22,12.3,12.3,8.627,24.6,0.008,3.407
3991,UnitForm,Trough,3,60.113,55.15,60.169,180.34,210.2,240.2,173.358,630.6,0.2,3.497
3991,UnitForm,Wall,12,10.213,6.995,8.213,122.55,37.7,23.9,26.802,452.4,0.136,3.691
4000,UnitShape,Concavity,41,134.302,35.23,272.214,5506.391,128.561,44.6,241.397,5271,0.359,0.957
4000,UnitShape,Convexity,25,208.84,29.56,376.005,5220.989,244.08,64.4,364.855,6101.999,0.34,1.169
4000,UnitShape,Planar,17,271.509,129.86,396.855,4615.658,344.623,235.784,412.235,5858.585,0.301,1.269
4000,UnitForm,Bowl,18,70.416,21.25,185.658,1267.49,43.756,28.1,53.786,787.6,0.083,0.621
4000,UnitForm,Bowl Transition,14,100.664,25.835,146.389,1409.301,94.1,47.9,105.714,1317.4,0.092,0.935
4000,UnitForm,Mound,14,215.842,27.325,472.282,3021.782,137.143,57.5,224.225,1920,0.197,0.635
4000,UnitForm,Mound Transition,8,156.465,18.709,210.722,1251.717,453.3,212.3,532.273,3626.4,0.082,2.897
4000,UnitForm,Plane,5,602.534,247.08,577.791,3012.67,728.4,429.2,533.378,3642,0.196,1.209
4000,UnitForm,Saddle,3,315.83,303.53,250.656,947.49,185.2,157.6,136.706,555.6,0.062,0.586
4000,UnitForm,Trough,9,314.4,78.65,463.444,2829.6,351.778,148.8,439.023,3166,0.184,1.119
4000,UnitForm,Wall,12,133.582,29.18,192.674,1602.988,184.715,82.2,221.106,2216.585,0.104,1.383
4024,UnitShape,Concavity,21,315.319,109.17,393.626,6621.69,212.314,61.2,342.83,4458.6,0.332,0.673
4024,UnitShape,Convexity,52,154.609,7.296,325.549,8039.692,122.281,29,201.946,6358.599,0.404,0.791
4024,UnitShape,Planar,14,375.608,221.796,389.986,5258.514,390.153,244.903,423.921,5462.144,0.264,1.039
4024,UnitForm,Bowl,12,252.697,82.125,330.665,3032.37,92.6,47.9,99.475,1111.2,0.152,0.366
4024,UnitForm,Bowl Transition,4,99.42,56.02,130.42,397.68,77.7,48.7,71.92,310.8,0.02,0.782
4024,UnitForm,Mound,9,505.521,312.12,576.91,4549.689,234.133,302.8,187.812,2107.2,0.228,0.463
4024,UnitForm,Mound Transition,36,52.167,1.17,150.058,1878.003,96.806,12.7,215.056,3484.999,0.094,1.856
4024,UnitForm,Plane,7,481.107,455.101,469.012,3367.751,475.2,452,523.504,3326.4,0.169,0.988
4024,UnitForm,Saddle,7,230.286,104.94,267.153,1612,109.486,73.2,83.551,766.4,0.081,0.475
4024,UnitForm,Trough,5,638.328,553.621,521.988,3191.64,607.32,365.2,548.103,3036.6,0.16,0.951
4024,UnitForm,Wall,7,270.109,112.7,289.108,1890.763,305.106,109.601,313.747,2135.744,0.095,1.13
4086,UnitShape,Concavity,45,174.762,98.01,238.02,7864.282,150.24,96.2,173.41,6760.803,0.328,0.86
4086,UnitShape,Convexity,78,132.961,5.496,355.304,10370.979,101.402,28.5,213.744,7909.392,0.432,0.763
4086,UnitShape,Planar,24,240.677,59.493,547.495,5776.249,309.757,163.8,494.467,7434.166,0.241,1.287
4086,UnitForm,Bowl,18,192.29,110.275,260.176,3461.212,86.1,69.1,85.886,1549.8,0.144,0.448
4086,UnitForm,Bowl Transition,13,56.259,25.24,96.863,731.371,86.308,74.8,45.673,1122,0.03,1.534
4086,UnitForm,Mound,17,355.046,56.42,639.599,6035.78,183.965,68.6,259.178,3127.4,0.251,0.518
4086,UnitForm,Mound Transition,54,39.043,0.55,134.996,2108.338,70.7,9.9,205.068,3817.796,0.088,1.811
4086,UnitForm,Plane,15,276.686,44.568,675.6,4150.289,315.172,176.2,569.12,4727.582,0.173,1.139
4086,UnitForm,Saddle,7,318.123,202.09,330.284,2226.861,137.742,109.4,79.858,964.196,0.093,0.433
4086,UnitForm,Trough,14,262.264,152.155,268.059,3671.699,292.072,261.2,242.404,4089.002,0.153,1.114
4086,UnitForm,Wall,9,180.662,74.419,237.776,1625.96,300.732,151.4,368.731,2706.584,0.068,1.665
4147,UnitShape,Concavity,82,31.837,10.295,58.657,2610.64,70.12,26.8,148.968,5749.8,0.343,2.202
4147,UnitShape,Convexity,125,24.458,2.98,57.406,3057.2,49.742,23.6,81.131,6217.8,0.401,2.034
4147,UnitShape,Planar,39,49.986,7.95,162.799,1949.44,146.831,44,398.953,5726.4,0.256,2.937
4147,UnitForm,Bowl,29,27.011,13.66,33.502,783.33,33.31,22.4,27.259,966,0.103,1.233
4147,UnitForm,Bowl Transition,31,16.161,2.93,24.153,500.99,44.935,22.4,56.983,1393,0.066,2.78
4147,UnitForm,Mound,41,47.137,16.28,85.022,1932.63,64.634,42.8,83.161,2650,0.254,1.371
4147,UnitForm,Mound Transition,80,8.716,1.52,17.001,697.25,40.75,13.8,80.523,3260,0.092,4.675
4147,UnitForm,Plane,23,61.94,4.56,210.725,1424.61,179.157,38.4,514.773,4120.6,0.187,2.892
