visit.id,gut.layer,unit.type,n,area.mean,area.med,area.sd,area.sum,perim.mean,perim.med,perim.sd,perim.sum,area.ratio,perim.area.ratio
2785,GU,Pocket Pool,8,2.22,2.005,0.911,17.76,8.475,7.4,3.796,67.8,0.011,3.818
2785,GU,Pond,5,14.436,11.5,12.145,72.18,27.16,18.2,20.371,135.8,0.044,1.881
2785,GU,Pool,11,13.201,9.54,11.257,145.21,25.927,20.8,13.574,285.2,0.089,1.964
2785,GU,Riffle,6,10.212,6.395,10.047,61.27,19.933,18.8,13.143,119.6,0.037,1.952
2785,GU,Transition,8,50.192,17.387,61.72,401.534,177.508,84.9,200.354,1420.063,0.245,3.537
2790,GU,Bank,19,6.909,4.73,6.165,131.27,39.053,28.4,30.832,742,0.137,5.652
2790,GU,Cascade,1,9.42,9.42,NaN,9.42,49.4,49.4,NaN,49.4,0.01,5.244
2790,GU,Glide-Run,8,31.842,23.59,30.394,254.739,98.097,93.2,72.1,784.772,0.265,3.081
2790,GU,Margin Attached Bar,20,8.383,4.625,10.691,167.67,42.27,29.8,41.406,845.4,0.175,5.042
2790,GU,Mid Channel Bar,1,5.24,5.24,NaN,5.24,13.2,13.2,NaN,13.2,0.005,2.519
2790,GU,Pocket Pool,6,0.747,0.685,0.246,4.48,4.433,4.4,0.983,26.6,0.005,5.934
2790,GU,Pool,25,5.14,2.97,4.195,128.5,14.128,11.6,7.396,353.2,0.134,2.749
2790,GU,Rapid,1,11.2,11.2,NaN,11.2,26,26,NaN,26,0.012,2.321
2790,GU,Riffle,5,5.514,4.73,2.949,27.57,14.28,13.4,3.183,71.4,0.029,2.59
2790,GU,Transition,6,36.66,16.58,51.377,219.961,200.262,110.1,255.661,1201.572,0.229,5.463
294,GU,Bank,8,156.203,123.225,164.198,1249.62,288.2,227.9,286.88,2305.6,0.134,1.845
294,GU,Glide-Run,1,4364.07,4364.07,NaN,4364.07,1972.4,1972.4,NaN,1972.4,0.468,0.452
294,GU,Margin Attached Bar,13,122.203,69.68,124.55,1588.64,128.415,78.2,120.102,1669.4,0.171,1.051
294,GU,Pocket Pool,4,3.527,3.4,0.691,14.11,9.75,9.8,0.915,39,0.002,2.764
294,GU,Pool,10,93.699,29.15,120.151,936.99,67.06,29.8,74.249,670.6,0.101,0.716
294,GU,Riffle,1,44.85,44.85,NaN,44.85,46.4,46.4,NaN,46.4,0.005,1.035
294,GU,Transition,8,139.769,69.81,158.387,1118.15,239.525,214.6,166.416,1916.2,0.12,1.714
3146,GU,Bank,9,32.492,23.08,29.592,292.43,115.978,77,104.641,1043.8,0.098,3.569
3146,GU,Glide-Run,6,209.186,132.645,241.22,1255.119,212.674,164.2,133.284,1276.042,0.42,1.017
3146,GU,Margin Attached Bar,11,50.035,31.5,72.524,550.39,81.545,71,84.357,897,0.184,1.63
3146,GU,Mid Channel Bar,1,2.28,2.28,NaN,2.28,9.2,9.2,NaN,9.2,0.001,4.035
3146,GU,Pocket Pool,2,1.645,1.645,0.502,3.29,6.9,6.9,0.707,13.8,0.001,4.195
3146,GU,Pool,13,18.145,11.84,16.735,235.89,27.785,23,18.002,361.2,0.079,1.531
3146,GU,Riffle,5,43.198,35.25,34.726,215.99,62.4,56.6,41.408,312,0.072,1.445
3146,GU,Transition,13,33.565,25.61,21.722,436.34,87.296,80.8,63.147,1134.842,0.146,2.601
3161,GU,Bank,22,2.362,1.575,2.753,51.97,17.454,13.6,16.137,383.999,0.13,7.39
3161,GU,Cascade,9,8.288,3.98,8.931,74.592,24.587,17.4,15.744,221.282,0.187,2.967
3161,GU,Glide-Run,4,4.307,3.72,1.669,17.227,14.214,13.829,4.009,56.858,0.043,3.3
3161,GU,Margin Attached Bar,30,2.722,1.185,3.473,81.665,13.609,8.6,10.881,408.259,0.205,5
3161,GU,Mid Channel Bar,2,1.03,1.03,0.679,2.06,4.7,4.7,2.121,9.4,0.005,4.563
3161,GU,Pocket Pool,9,0.677,0.47,0.559,6.09,4.044,3.4,1.621,36.4,0.015,5.973
3161,GU,Pool,12,1.94,1.74,1.065,23.28,7.467,7.2,2.246,89.6,0.058,3.849
3161,GU,Rapid,6,11.068,9.38,4.838,66.409,33.069,29.699,14.757,198.417,0.166,2.988
3161,GU,Riffle,5,2.152,2.55,1.461,10.76,8.12,9.4,4.041,40.6,0.027,3.773
3161,GU,Transition,12,5.415,5.194,2.017,64.977,32.325,29.635,16.714,387.898,0.163,5.97
323,GU,Bank,8,35.86,3.255,59.935,286.878,91.325,11.4,144.738,730.598,0.182,2.547
323,GU,Cascade,3,68.118,43.99,71.417,204.354,52.886,54.2,28.851,158.658,0.129,0.776
323,GU,Glide-Run,3,48.203,29.7,47.368,144.61,52.467,32.8,37.403,157.4,0.092,1.088
323,GU,Margin Attached Bar,9,19.65,11.44,16.302,176.85,49.778,37.8,48.121,448,0.112,2.533
323,GU,Mid Channel Bar,1,19.34,19.34,NaN,19.34,24.4,24.4,NaN,24.4,0.012,1.262
323,GU,"NA",1,1.41,1.41,NaN,1.41,8.4,8.4,NaN,8.4,0.001,5.957
323,GU,Pocket Pool,6,1.892,1.92,0.425,11.35,6.767,6.8,1.189,40.6,0.007,3.577
323,GU,Pool,5,3.032,2.79,0.5,15.16,9.24,8.6,2.151,46.2,0.01,3.047
323,GU,Rapid,7,50.83,32.85,32.814,355.81,56.457,48.4,24.38,395.2,0.225,1.111
323,GU,Riffle,3,3.97,3.93,0.511,11.91,11.933,11.8,0.611,35.8,0.008,3.006
323,GU,Transition,5,70.376,35.461,70.098,351.878,185.243,98.15,164.288,926.213,0.223,2.632
3275,GU,Bank,17,120.471,44.88,139.654,2048.001,168.423,75,174.75,2863.188,0.074,1.398
3275,GU,Glide-Run,12,435.078,338.57,348.02,5220.94,347.13,208.783,276.664,4165.564,0.189,0.798
3275,GU,Margin Attached Bar,11,630.844,649.881,607.703,6939.285,277,275.8,240.782,3047,0.251,0.439
3275,GU,Mid Channel Bar,5,89.674,19.38,139.995,448.37,39.76,24,34.304,198.8,0.016,0.443
3275,GU,Pond,5,184.169,94.812,248.619,920.845,64.48,47.2,40.765,322.401,0.033,0.35
3275,GU,Pool,11,325.765,204.3,266.445,3583.42,123.455,71.2,83.671,1358,0.129,0.379
3275,GU,Riffle,12,135.822,128.005,111.397,1629.87,95.4,96.8,44.175,1144.799,0.059,0.702
