GU,GUKey,UnitID,Area,AreainDelft,No.Fish,No.FishBest,SuitArea,BestArea,MedModelVal,MedModelValBest,visit
Glide-Run,GR,23,5.560002683,5.260012631,0,NA,0,NA,-31.61392496,NA,1029
Glide-Run,GR,24,30.32000288,23.34010297,0,NA,0,NA,-32.74811206,NA,1029
Glide-Run,GR,25,15.32000146,11.28010213,6,6,10.73010199,9.620085588,72.99126799,75.17989213,1029
Glide-Run,GR,26,47.3400045,47.20003034,9,4,16.20005777,8.599779336,-15.86189161,71.9165873,1029
Glide-Run,GR,27,162.5199554,158.5398408,36,13,73.98036468,21.04061006,18.34517583,65.12263119,1029
Margin Attached Bar,Br,28,11.42000108,6.959727412,0,NA,0,NA,-31.18228579,NA,1029
Margin Attached Bar,Br,30,3.340000317,3.200031125,0,NA,0.240001769,NA,-11.88959253,NA,1029
Margin Attached Bar,Br,31,2.330000221,0.019990246,NA,NA,NA,NA,NA,NA,1029
Margin Attached Bar,Br,32,23.59000224,0.310047572,0,NA,0,NA,-37.14151246,NA,1029
Margin Attached Bar,Br,33,1.810000172,1.109990545,0,NA,0,NA,-36.24479322,NA,1029
Margin Attached Bar,Br,34,32.82000312,6.269816642,0,NA,0,NA,-28.64785472,NA,1029
Margin Attached Bar,Br,35,63.74002106,6.799502539,1,0,1.049837016,0.259935673,-9.764548294,70.63012042,1029
Margin Attached Bar,Br,36,12.5800012,4.47012804,0,NA,0.279979934,NA,-30.19535037,NA,1029
Margin Attached Bar,Br,37,32.74000311,4.860408151,0,NA,0,NA,-51.36935677,NA,1029
Margin Attached Bar,Br,39,2.400000228,1.320124873,0,NA,2.47E-05,NA,-22.82598568,NA,1029
Margin Attached Bar,Br,40,1.770000168,0.950032429,0,NA,0.279979792,NA,-4.049113974,NA,1029
Margin Attached Bar,Br,41,7.140000678,4.929963367,0,NA,0.359916975,NA,-21.33808319,NA,1029
Margin Attached Bar,Br,42,3.170000301,0.050034111,NA,NA,NA,NA,NA,NA,1029
Margin Attached Bar,Br,43,41.96000398,1.920109234,0,NA,0,NA,-34.47717308,NA,1029
Mid Channel Bar,Bc,44,1.140000108,0.700000102,0,NA,0,NA,-37.38371154,NA,1029
Mid Channel Bar,Bc,45,52.620005,1.860072855,0,0,0.169995373,0.059990978,-7.815369348,71.18456698,1029
Mid Channel Bar,Bc,46,1.378077186,1.37807718,0,NA,1.158061393,NA,10.6013643,NA,1029
Mid Channel Bar,Bc,47,6.73000064,0.679958943,0,NA,0,NA,-36.64179478,NA,1029
Mid Channel Bar,Bc,48,68.01003146,9.240234618,0,NA,0.019992868,NA,-33.75827184,NA,1029
Mid Channel Bar,Bc,53,10.20000097,4.349913599,0,NA,0.119955872,NA,-24.46220233,NA,1029
Mid Channel Bar,Bc,54,4.400000418,4.400000417,0,NA,0,NA,-58.83420557,NA,1029
Mid Channel Bar,Bc,55,42.51000404,17.34978533,0,NA,0,NA,-35.89321257,NA,1029
Pocket Pool,Pk,56,1.38000013,1.380000127,1,1,1.380000127,1.369997323,75.42278687,75.50204409,1029
Pocket Pool,Pk,57,0.730000069,0.730000071,0,NA,7.34E-06,NA,-155.8966381,NA,1029
Pocket Pool,Pk,58,1.640000156,1.64000016,1,NA,0.86002861,NA,-7.86071308,NA,1029
Pocket Pool,Pk,59,0.810000077,0.810000077,0,NA,0,NA,-173.5979152,NA,1029
Pocket Pool,Pk,60,1.660000159,1.660000152,0,NA,0,NA,-27.54788395,NA,1029
Pocket Pool,Pk,61,1.420000135,1.420000136,0,NA,0,NA,-31.13667598,NA,1029
Pocket Pool,Pk,62,1.110000105,1.110000106,0,NA,0,NA,-13.62934482,NA,1029
Pocket Pool,Pk,63,1.510000142,1.510000153,1,1,1.510000153,1.259996676,63.51763907,64.59497493,1029
Pond,Pd,64,8.470000805,8.470000797,0,NA,0,NA,-36.83511231,NA,1029
Pool,Po,65,11.20000106,10.18998246,5,4,9.469996167,5.70995558,53.57199279,61.56031735,1029
Pool,Po,66,7.970000757,7.970000758,2,0,3.279954365,0.969962903,-124.4173856,62.71275448,1029
Pool,Po,67,34.45000327,34.45000327,15,14,34.02003381,28.37024406,74.40310268,78.15837455,1029
Pool,Po,68,11.90000113,11.90000113,5,5,10.41999498,8.349988625,74.77447894,80.82812434,1029
Pool,Po,69,8.270000785,8.270000788,8,6,7.989947683,6.849928799,72.54414649,74.70035451,1029
Pool,Po,70,7.040000668,7.030003363,0,NA,0,NA,-25.88142734,NA,1029
Pool,Po,71,2.120000201,2.120000207,0,NA,0,NA,-36.91191818,NA,1029
Pool,Po,72,15.33000146,15.33000146,0,NA,0,NA,-29.25508656,NA,1029
Pool,Po,73,15.07000143,15.07000143,10,8,13.69017688,12.28022066,77.11324718,79.91406923,1029
Pool,Po,74,16.95000161,16.84002989,5,5,16.00002973,15.18006034,76.05307653,76.93207968,1029
Pool,Po,75,25.94000246,25.94000246,15,12,19.24998089,13.52009307,43.22218337,72.52397958,1029
Pool,Po,76,23.99000228,23.99000228,13,12,22.86999828,20.69997047,62.00634307,65.59124574,1029
Riffle,Rf,77,28.85000274,24.0301322,5,1,6.619998716,0.349975511,-46.68406144,59.39344289,1029
Riffle,Rf,78,5.380000512,5.380000509,2,NA,2.209859424,NA,-14.18938492,NA,1029
Riffle,Rf,79,3.1600003,3.160000304,1,0,1.449971581,0.099995753,-31.28552509,58.16535593,1029
Riffle,Rf,80,22.03000209,14.04988155,0,NA,0,NA,-32.54639262,NA,1029
Riffle,Rf,81,15.8300015,14.72986772,0,NA,1.230089769,NA,-16.0747116,NA,1029
Riffle,Rf,82,5.050000481,5.03999771,0,NA,0,NA,-32.98729268,NA,1029
Riffle,Rf,83,23.2200022,23.22000219,9,2,13.49990684,5.049859464,36.00253473,67.50600809,1029
Transition,Tr,84,9.010000855,8.460006555,0,0,1.080080066,0.340063886,-4.766136572,71.35439309,1029
Transition,Tr,85,11.94000113,9.449972299,2,0,2.609818086,0.099968491,-10.60798075,58.73994942,1029
Transition,Tr,86,73.23694102,38.26427935,4,2,8.590199003,2.55993585,-4.575668722,72.3621155,1029
Transition,Tr,87,5.68000054,5.680000528,2,NA,2.360090486,2.97E-06,8.232403781,NA,1029
Transition,Tr,88,13.13000125,12.30995679,0,NA,2.819947298,NA,-20.33664606,NA,1029
Transition,Tr,89,8.200000779,0.049988603,NA,NA,NA,NA,NA,NA,1029
Transition,Tr,90,55.66184323,47.29154883,4,1,7.811789121,1.419857506,-15.274749,75.2780772,1029
Transition,Tr,91,10.63000185,4.310061027,2,0,3.240053907,1.389974224,36.93350755,68.01791741,1029
Transition,Tr,92,19.20000182,19.20000181,3,3,10.66986898,7.979808758,56.70958772,63.94942505,1029
Transition,Tr,93,46.07000438,37.61028268,2,0,2.120285086,0.040020055,-23.46517699,57.62443797,1029
Transition,Tr,94,70.48995955,60.36052157,0,NA,2.269892779,NA,-29.84525352,NA,1029
Bank,Bk,1,371.2098778,129.2329727,5,2,17.84600366,5.298113305,-6.093658001,77.1414593,1096
Bank,Bk,4,321.0598943,228.1404459,20,12,67.30768028,31.13762803,13.19867856,81.28505646,1096
Bank,Bk,6,495.8498367,169.7309803,5,1,18.66057177,2.365144895,-9.532167722,66.72529873,1096
Chute,Ch,7,17.70999417,17.70999418,5,2,11.27762369,6.917506425,33.566818,79.28177295,1096
