"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"685","Bank",22.3,70.2,36.1285714285714,132.742857142857,35.0288316622043,135.470523942084,252.9,929.2,7,11.09,3.67,3949
"686","Glide-Run",50.95,56.4,153.433333333333,156.283333333333,260.029188105233,233.733698183781,920.6,937.7,6,40.35,1.02,3949
"687","Margin Attached Bar",16.5,39.2,29.2545454545455,51.1272727272727,29.8750519208373,44.387139824708,321.8,562.4,11,14.11,1.75,3949
"688","Mid Channel Bar",12.5,21.9,18.53,24.52,13.3765175670734,9.11808946849917,185.3,245.2,10,8.12,1.32,3949
"689","Pocket Pool",2.1,7.6,1.97142857142857,7.37142857142857,0.540722620556004,1.15139666740628,13.8,51.6,7,0.6,3.74,3949
"690","Pool",5.3,14.8,10.4333333333333,17.6222222222222,8.7591380854511,8.44419590277514,93.9,158.6,9,4.12,1.69,3949
"691","Rapid",35.4,59.6,35.4,59.6,0,0,35.4,59.6,1,1.55,1.68,3949
"692","Riffle",20.5,32.8,21.325,37.85,20.058809369784,32.832250405153,85.3,151.4,4,3.74,1.77,3949
"693","Transition",20.6,99,33.8818181818182,115.863636363636,29.4672638085662,70.0887191026812,372.7,1274.5,11,16.34,3.42,3949
"694","Bank",8.35,42,14.3666666666667,59.9555555555556,15.7477542750032,52.0941932207445,258.6,1079.2,18,18.27,4.17,3975
"695","Glide-Run",41.5,137,39.7428571428571,167.942857142857,26.8469028097505,119.506301886035,278.2,1175.6,7,19.66,4.23,3975
"696","Margin Attached Bar",10.6,45.2,16.14,71.8533333333333,16.5958170289125,76.7540307612261,242.1,1077.8,15,17.11,4.45,3975
"697","Mid Channel Bar",1.45,20,1.45,20,0.919238815542512,11.879393923934,2.9,40,2,0.2,13.79,3975
"698","Pocket Pool",1.15,6.9,1.15,6.9,0.494974746830583,4.10121933088198,2.3,13.8,2,0.16,6,3975
"699","Pond",7.5,21.1,6.675,21.1,2.72687244537278,5.22174938757756,26.7,84.4,4,1.89,3.16,3975
"700","Pool",18.5,33.6,20.3272727272727,37.1454545454545,13.8595880825579,21.2749789018163,223.6,408.6,11,15.8,1.83,3975
"701","Riffle",3.5,10.6,5.31428571428571,13.7428571428571,3.87875777856286,7.0329835164642,37.2,96.2,7,2.63,2.59,3975
"702","Transition",72.9,292.1,85.8,320.55,96.346700341354,348.345628172174,343.2,1282.2,4,24.25,3.74,3975
"703","Bank",22.9,67.2,59.2115384615385,133.253846153846,82.8785199043664,169.01609445439,1539.5,3464.6,26,6.55,2.25,3979
"704","Chute",54,104,112.754545454545,151.854545454545,132.302005756801,120.785300129083,1240.3,1670.4,11,5.28,1.35,3979
"705","Glide-Run",269.9,359.4,717.733333333333,417.188888888889,999.474647002114,352.909536724514,6459.6,3754.7,9,27.5,0.58,3979
"706","Margin Attached Bar",118.3,75.8,206.113043478261,160.973913043478,227.463320328491,139.030138058399,4740.6,3702.4,23,20.18,0.78,3979
"707","Mid Channel Bar",111.5,86.7,123.9,83.84,125.113699400896,72.3336743463544,1239,838.4,10,5.27,0.68,3979
"708","Pocket Pool",3.35,10.2,3.5625,10.925,0.917975256435908,2.26005688929663,28.5,87.4,8,0.12,3.07,3979
