"","Unit","medArea","medPerim","avgArea","avgPerim","sdArea","sdPerim","totArea","totPerim","n","percArea","PeribyArea","visit"
"830","Mound",4.9,22.8,6.02941176470588,26.1058823529412,5.76690609272883,20.6053533877799,102.5,443.8,17,21.8,4.33,820
"831","Mound Transition",0.3,4.4,0.867391304347826,9.0695652173913,1.48609171958995,11.4058244295568,39.9,417.2,46,8.49,10.46,820
"832","Plane",1.4,18.6,5.47647058823529,36.8470588235294,8.52617509582731,52.4492864304065,93.1,626.4,17,19.8,6.73,820
"833","Trough",3,25.2,5.58235294117647,32.2,5.56048955737236,24.243246482268,94.9,547.4,17,20.19,5.77,820
"834","Wall",2.05,18.9,3.82142857142857,27.9142857142857,4.25209062994602,29.2931826446112,53.5,390.8,14,11.38,7.3,820
"835","Bowl",0.8,4.4,1.38333333333333,5.73333333333333,1.36823200647018,3.57639318801696,24.9,103.2,18,6.52,4.14,85
"836","Bowl Transition",1.2,8.4,1.97894736842105,10.3157894736842,1.93895130514995,6.86676886314685,37.6,196,19,9.85,5.21,85
"837","Mound",2.9,18.4,4.86315789473684,20.7368421052632,5.14416719599498,16.7340043200901,92.4,394,19,24.21,4.26,85
"838","Mound Transition",0.4,6.2,0.962162162162162,10.9189189189189,1.20769554463388,10.7474502877514,35.6,404,37,9.33,11.35,85
"839","Plane",1.7,19,5.53846153846154,37.7076923076923,9.01235619039572,48.970985653726,72,490.2,13,18.86,6.81,85
"840","Saddle",2.65,9.5,3.275,10.55,1.80808370012748,3.34015967682185,13.1,42.2,4,3.43,3.22,85
"841","Trough",1.8,17,3.47,22.27,3.23339482668961,17.035724074334,69.4,445.4,20,18.18,6.42,85
"842","Wall",1.9,16.8,2.86153846153846,23.9384615384615,2.53953357316472,20.2937403510515,37.2,311.2,13,9.75,8.37,85
"843","Bowl",10.95,17.1,19.7285714285714,22.9285714285714,19.9191608014235,15.975675190808,276.2,321,14,11.02,1.16,895
"844","Bowl Transition",1.7,18,6.86521739130435,20.7913043478261,10.4304017483705,19.9099315793418,157.9,478.2,23,6.3,3.03,895
"845","Mound",9.8,21.8,27.6421052631579,43.4526315789474,32.2293743826872,42.5109053776015,525.2,825.6,19,20.95,1.57,895
"846","Mound Transition",2.1,14.2,7.51724137931035,34.3379310344828,15.0743412309393,43.7266869624187,218,995.8,29,8.69,4.57,895
"847","Plane",18.8,87.5,36.8166666666667,109.866666666667,43.5307797756804,89.7457553651458,441.8,1318.4,12,17.62,2.98,895
"848","Saddle",37.15,41.9,41.8,43.9,20.1380237362061,12.2838647555781,167.2,175.6,4,6.67,1.05,895
"849","Trough",13.4,41.7,28.5125,69.825,41.8873708095093,90.0760530514816,456.2,1117.2,16,18.19,2.45,895
"850","Wall",7.1,41.3,21.975,72.5833333333333,26.0484557211084,75.640030687621,263.7,871,12,10.52,3.3,895
"851","Bowl",16.4,18.9,28.875,30.2625,44.5016928516957,34.8499808703917,462,484.2,16,8.97,1.05,916
"852","Bowl Transition",10.6,18.5,24.4625,42.8125,45.3754246995735,69.9866832571264,391.4,685,16,7.6,1.75,916
"853","Mound",31.6,70.6,54.0444444444444,79.6444444444444,73.6203634091596,67.9150873147294,972.8,1433.6,18,18.88,1.47,916
