"RS","Condition","unit.type","variable","avg","sd","med","min","max","n"
"AF","good","Pool","area.med",57.2714705882353,77.1700558175884,34.01,2.97,234.485,17
"AF","good","Pool","area.ratio",0.107882352941176,0.0326800442796158,0.111,0.041,0.158,17
"AF","good","Pool","area.sd",89.2602941176471,142.250608923022,34.376,4.195,555.773,17
"AF","good","Pool","area.sum",1032.43705882353,1329.23086771432,329.36,87.79,4621.22,17
"AF","good","Pool","n",14.9411764705882,9.02406912259718,12,4,38,17
"AF","good","Pool","perim.area.ratio",1.25570588235294,0.702190035238492,1.154,0.296,2.749,17
"AF","good","Pool","perim.mean",49.6402352941176,34.2199829093496,43.85,14.128,123.455,17
"AF","good","Pool","perim.med",40.1294117647059,25.833741616002,31.4,11.6,95.2,17
"AF","good","Pool","perim.sd",37.9857058823529,32.8441792707717,27.218,7.396,113.003,17
"AF","good","Pool","perim.sum",664.506235294118,486.799444083948,366.2,158.6,1728.201,17
"AF","good","Rapid","area.mean",17.76775,11.9544203923347,13.0405,9.6,35.39,4
"AF","good","Rapid","area.med",17.2025,12.1875958115892,11.91,9.6,35.39,4
"AF","good","Rapid","area.ratio",0.0245,0.0231012265186649,0.014,0.011,0.059,4
"AF","good","Rapid","area.sd",6.727,NA,6.727,6.727,6.727,1
"AF","good","Rapid","area.sum",32.649,30.2350576428534,23.295,9.6,74.406,4
"AF","good","Rapid","n",2,2,1,1,5,4
"AF","good","Rapid","perim.area.ratio",2.4895,0.793146686727409,2.3455,1.684,3.583,4
"AF","good","Rapid","perim.mean",38.81825,14.4715628820802,34.8365,26,59.6,4
"AF","good","Rapid","perim.med",37.55,15.0947010569935,32.3,26,59.6,4
"AF","good","Rapid","perim.sd",20.823,NA,20.823,20.823,20.823,1
"AF","good","Rapid","perim.sum",74.09125,69.6612755140903,47,26,176.365,4
"AF","good","Riffle","area.mean",95.449125,73.4249576232995,100.45,5.514,224.326,16
"AF","good","Riffle","area.med",79.25,59.9125212288717,81.5325,4.73,174.6,16
"AF","good","Riffle","area.ratio",0.0681875,0.0294238423731504,0.062,0.029,0.12,16
"AF","good","Riffle","area.sd",87.118125,75.1756817841825,88.1375,2.949,234.027,16
"AF","good","Riffle","area.sum",548.298375,515.753600986863,345.625,27.57,1629.87,16
"AF","good","Riffle","n",5.5625,2.555223408367,5,2,12,16
"AF","good","Riffle","perim.area.ratio",1.125375,0.666242686013638,0.766,0.495,2.59,16
"AF","good","Riffle","perim.mean",68.6334375,35.8447761232954,74.442,14.28,136.04,16
"AF","good","Riffle","perim.med",65.7745,35.4382129534396,68.45,13.4,134.2,16
"AF","good","Riffle","perim.sd",42.4784375,23.9632857401171,45.274,3.183,82.438,16
"AF","good","Riffle","perim.sum",391.37375,307.757157513626,288.6,71.4,1144.799,16
"AF","good","Transition","area.mean",329.349235294118,600.860157273151,87.57,15.009,2061.326,17
"AF","good","Transition","area.med",65.5016470588235,55.6949482908248,47.51,15.39,216.356,17
"AF","good","Transition","area.ratio",0.208352941176471,0.0468400752247349,0.204,0.138,0.296,17
"AF","good","Transition","area.sd",558.137588235294,1133.18538600344,101.406,5.411,3896.438,17
"AF","good","Transition","area.sum",1875.18894117647,2430.93621672568,856.92,150.087,8245.303,17
"AF","good","Transition","n",9.29411764705882,4.81877455742579,9,3,21,17
"AF","good","Transition","perim.area.ratio",2.361,1.19985025107302,2.217,0.535,5.463,17
"AF","good","Transition","perim.mean",356.901882352941,385.159666079517,188.928,60.095,1493.288,17
"AF","good","Transition","perim.med",142.518764705882,68.9770158264054,142.2,59.6,274.4,17
"AF","good","Transition","perim.sd",492.483588235294,700.903860779606,255.661,17.249,2594.828,17
"AF","good","Transition","perim.sum",2549.01217647059,1997.87977845422,1780.599,600.945,7815.183,17
"AF","mod","Bank","area.mean",96.027,118.495525285672,40.364,9.233,360.705,12
"AF","mod","Bank","area.med",90.8150833333333,144.735132990928,22.4175,4.33,448.161,12
"AF","mod","Bank","area.ratio",0.1145,0.0176712401170016,0.1135,0.085,0.145,12
"AF","mod","Bank","area.sd",87.823,98.5512462243052,41.9155,10.518,294.437,12
"AF","mod","Bank","area.sum",615.784083333333,406.476517940226,524.63,110.8,1442.82,12
"AF","mod","Bank","n",10.4166666666667,5.80686636402948,10,3,25,12
"AF","mod","Bank","perim.area.ratio",2.73808333333333,0.881517437390913,2.7075,1.059,4.43,12
"AF","mod","Bank","perim.mean",192.0055,182.098883101013,132.4215,40.9,684.337,12
"AF","mod","Bank","perim.med",182.183583333333,277.024326629682,80.15,18.4,1012.212,12
"AF","mod","Bank","perim.sd",169.555083333333,152.758996781596,113.5155,50.551,575.349,12
"AF","mod","Bank","perim.sum",1412.94775,593.572348910947,1376.9,490.8,2305.6,12
"AF","mod","Cascade","area.mean",12.67,NA,12.67,12.67,12.67,1
"AF","mod","Cascade","area.med",12.67,NA,12.67,12.67,12.67,1
"AF","mod","Cascade","area.ratio",0.003,NA,0.003,0.003,0.003,1
"AF","mod","Cascade","area.sd",NA,NA,NA,Inf,-Inf,0
"AF","mod","Cascade","area.sum",12.67,NA,12.67,12.67,12.67,1
"AF","mod","Cascade","n",1,NA,1,1,1,1
"AF","mod","Cascade","perim.area.ratio",4.783,NA,4.783,4.783,4.783,1
"AF","mod","Cascade","perim.mean",60.6,NA,60.6,60.6,60.6,1
"AF","mod","Cascade","perim.med",60.6,NA,60.6,60.6,60.6,1
"AF","mod","Cascade","perim.sd",NA,NA,NA,Inf,-Inf,0
"AF","mod","Cascade","perim.sum",60.6,NA,60.6,60.6,60.6,1
"AF","mod","Chute","area.mean",40.833,32.8705658302378,40.833,17.59,64.076,2
"AF","mod","Chute","area.med",32.12,20.5485230612811,32.12,17.59,46.65,2
"AF","mod","Chute","area.ratio",0.019,0.0226274169979695,0.019,0.003,0.035,2
