SiteName,Watershed,visit.id,Gradient,LWfreq,Braid,Sinuosity,bfw,bfd,cover,Ucut,D50,Bldr,Cbl,Gvl,Sndf,Planform,Threads,Bedform,Substrate,Confinement,LONG_DD,LAT_DD
CBW05583-189385,Methow ,2546,0.1985,4.396369641,1,1.22,67.02,1.12,10.265,NA,67.5,11.035,40.65,36.505,3.925,Sinuous,Single,Pool-Riffle,cobble-gravel ,UCV,716504,5304859
WC503432-000016,Wenatchee,2556,0.7735,96.97671519,1.215,1.54,24.175,0.785,22.695,9.91,57.5,7.755,20.055,37.365,32.615,Meandering,Transitional,Pool-Riffle,cobble-gravel-sand,PCV,658229,5310692
WENMASTER-000195,Wenatchee,2563,0.922,28.16420585,1,1.46,10.09,0.43,28.7,9.885,52,0,40.69,47.7,9.65,Meandering,Single,Pool-Riffle,gravel-sand,UCV,669782,5308280
MNM00001-000229,Minam,2668,0.385,4.28,1,1.1,30.1,0.77,6.2,0.53,62,7.93,28.19,45.97,15.27,Sinuous,Single,Plane-Bed,cobble-gravel,PCV,449234,5024359
CBW05583-432587,Tucannon,2696,0.948,15.51,1,1.03,14.8,0.5,16.12,1.06,47,4,33.19,45.73,8.86,Straight,Transitional,Plane-Bed,cobble-gravel,PCV,NA,NA
JDW00001-Juniper Canyon 3,John Day,2769,1,0.8,1,1.23,3.985,0.275,13.715,1.53,44,4.115,22.92,57.675,12.14,Sinuous,Single,Plane-Bed,cobble-gravel ,PCV,721268,4944733
JDW00001-Mazama 4,John Day,2771,1,1.045,1,1.33,3.43,0.34,16.23,2.37,34,4.42,30.42,46.93,12.99,Sinuous,Single,Pool-Riffle,cobble-gravel ,PCV,719632,4946406
JDW00001-Meyers Camp B,John Day,2785,0.918,1.702578242,1.39,1.555,11.32,0.295,28.57,10.21,22,0,7.465,34.355,41.585,Anabranching,Multi,Pool-Riffle,gravel-sand,PCV,720959,4943306
JDW00001-Mazama A,John Day,2790,1,NA,1,1.24,4.32,0.3,21.06,NA,34,6.86,22.64,38.13,27.98,Sinuous,Single,Pool-Riffle,cobble-gravel-sand,PCV,720257,4946012
MNM00001-000393,Minam,2898,0.955,6.42,1,1.02,30.12,0.99,2.03,NA,82,14.85,33.77,27.91,21.42,Sinuous,Single,Plane-Bed,cobble-gravel-sand,PCV,446727,5029642
YFI00001-001078,Yankee Fork,3146,0.971,21.34,1,1.39,10.3,0.44,6.39,13.07,47,3.93,42.57,45.35,0.75,Sinuous,Single,Pool-Riffle,cobble-gravel ,UCV,NA,NA
CBW05583-345970,John Day,3161,5,50.39,1,1.09,3.24,0.33,40.68,8.31,24,4.07,11.86,42.87,24.91,Sinuous,Single,Rapid,gravel-sand,CV,311310,4908726
LWIN0001-000041,Wenatchee,3275,0.158,24.79,1,1.465,40.58,1.15,23.885,3.375,24,3.07,5.47,51.865,30.4,Meandering,Single,Pool-Riffle,gravel-sand,UCV,NA,NA
CBW05583-132779,Entiat,3297,1,94.7,2.32,1.09,35.72,0.62,19.09,1.3,137,29.11,20.71,17.72,21.39,Anabranching,Multi,Pool-Riffle,boulder-cobble-gravel-sand,PCV,NA,NA
LRB_BC3220,Region 17,3413,1.137,NA,1,1.352,6.2,NA,NA,NA,50,NA,NA,NA,NA,Meandering,Single,Plane-Bed,cobble-gravel,PCV,NA,NA
LRB_66576,Region 17,3415,1.893,NA,1,1.052,12.5,NA,NA,NA,176,NA,NA,NA,NA,Straight,Single,Plane-Bed,cobble-gravel,PCV,NA,NA
